code,file_size,pricesens,link,time,notices,pages
CIM,154.4KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943090,23/01/2018 8:56 AM,CIMICS CPB CONTRACTORS WINS $84M SYDNEY RECREATION CENTRE,1
DVL,91.7KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943089,23/01/2018 8:55 AM,dorsaVi operational changes to drive US market penetration,2
IPL,545.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943088,23/01/2018 8:55 AM,Daily share buy-back notice - Appendix 3E,2
DLX,160.7KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943087,23/01/2018 8:45 AM,DuluxGroup Appoints New Directors,1
ALQ,256.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943086,23/01/2018 8:45 AM,Daily share buy-back notice - Appendix 3E,2
NVL,264.7KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943085,23/01/2018 8:40 AM,NVL Announces Settlement of Acquisitions,1
UCW,1.0MB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943084,23/01/2018 8:40 AM,December Quarter Update and Appendix 4C,8
VRC,831.5KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943083,23/01/2018 8:39 AM,VRC Lodges Environmental & Social Impact Statement for Bunyu,2
HDY,2.1MB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943082,23/01/2018 8:38 AM,Grace Gold Project - Positive Desktop Review Completed,35
ANZ,104.7KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01943081,23/01/2018 8:34 AM,Appendix 3E,2
