code,file_size,pricesens,link,time,notices,pages
MGG,72.5KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942946,22/01/2018 3:34 PM,Weekly NAV,1
WSJ,18.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942945,22/01/2018 3:34 PM,Dividend Details - Class A Notes,1
TFG,1.1MB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942944,22/01/2018 3:31 PM,Appendix 3B - Release from escrow,10
MQR,10.3MB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942943,22/01/2018 3:31 PM,Notice of Extraordinary General Meeting/Proxy Form,306
WSH,18.4KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942942,22/01/2018 3:30 PM,Dividend Details - Class A Notes,1
OIL,610.1KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942941,22/01/2018 3:30 PM,Market Update - Resignation of CEO,1
WSC,18.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942940,22/01/2018 3:29 PM,Dividend Details - Class A Notes,1
BCT,837.8KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942939,22/01/2018 3:28 PM,Appendix 4C - quarterly,7
BLK,224.7KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942938,22/01/2018 3:23 PM,Change of Director's Interest Notice,4
COM,390.7KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942937,22/01/2018 3:22 PM,ComOps Revision of Strategy,2
BSX,444.0KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942936,22/01/2018 3:13 PM,Results of General Meeting,1
RBR,743.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942935,22/01/2018 3:08 PM,Change in substantial holding,3
APO,97.8KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942934,22/01/2018 3:02 PM,APN Outdoor CEO Commences - Appendix 3X,3
RCP,167.5KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942933,22/01/2018 3:02 PM,Appendix 3X,2
RCP,271.6KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942932,22/01/2018 3:02 PM,Reinstatement to Official Quotation,1
SMG,242.2KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942931,22/01/2018 2:58 PM,Reinstatement to Official Quotation,1
LAU,105.1KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942930,22/01/2018 2:57 PM,Company Secretary Appointment/Resignation,1
